A-nummer,Bsn Nummer,Voornamen,VoornaamZonderDiak,AdellijkeTitelPredikaat,VoorvoegselGeslachtsnaam,Geslachtsnaam,GeslachtsnaamZonderDiak,GeslachtsnaamSoundex,GeslachtsnaamTransliteratie,Geboortedatum,Geboorteplaats,Geboorteland,Geslachtsaanduiding,AanduidingGegevensInOnderzoekPersoon,DatumIngangOnderzoekPersoon,DatumEindeOnderzoekPersoon,Nationaliteit,AanduidingGegevensInOnderzoekNationaliteit,DatumIngangOnderzoekNationaliteit,DatumEindeOnderzoekNationaliteit,DatumOverlijden,AanduidingGegevensInOnderzoekOverlijden,DatumIngangOnderzoekOverlijden,DatumEindeOnderzoekOverlijden,OmschrijvingRedenOpschorting,IndicatieGeheim,GemeenteVanInschrijving,FunctieAdres,Gemeentedeel,Straatnaam,Huisnummer,Huisletter,HuisnummerToevoeging,AanduidingBijHuisnummer,Postcode,Woonplaatsnaam,Locatiebeschrijving,LandAdresBuitenland,DatumAanvangAdresBuitenland,Regel1AdresBuitenland,Regel2AdresBuitenland,Regel3AdresBuitenland,LandVanwaarIngeschreven,AanduidingGegevensInOnderzoekAdres,DatumIngangOnderzoekAdres,DatumEindeOnderzoekAdres,VoorvoegselEnGeslachtsnaam,HuisnummerCijfers
NULL,690017704,Telemachus,telenachus,NULL,NULL,Homeros,homeros,NULL,6mer63,19911226,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
NULL,690017753,Menelaos,menelaos,NULL,NULL,Homeros,homeros,NULL,6mer63,19901225,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,20091201,NULL,NULL,NULL,O,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
NULL,690018083,Palamedes,palanedes,NULL,NULL,Homeros,homeros,NULL,6mer63,19911224,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
NULL,690018101,Achilles,achilles,NULL,NULL,Homeros,homeros,NULL,6mer63,19911223,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
NULL,690018344,Athena,athena,NULL,NULL,Homeros,homeros,NULL,6mer63,19911222,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
NULL,690018678,Troje,troje,NULL,NULL,Homeros,homeros,NULL,6mer63,19911221,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
NULL,690018745,Erebos,erebos,NULL,NULL,Bultenaar,bultenaar,NULL,b6lten2r,20000401,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Eik,555,NULL,NULL,NULL,3224TB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,bultenaar,555
NULL,690018897,Ymir,ynir,NULL,von,Thursen,thursen,NULL,t6r3en,19600101,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,5,NULL,NULL,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,5
NULL,690019464,Audumla,audunla,NULL,de,Jotun,jotun,NULL,56t6n,19650101,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,5,NULL,NULL,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dejotun,5
NULL,690019695,Ivaldi,Ivaldi,NULL,von,Thursen,thursen,NULL,t6r3en,20030505,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,555,NULL,NULL,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,555
NULL,690019774,Thjazi,thjazi,NULL,von,Thursen,thursen,NULL,t6r3en,20020505,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,555,NULL,NULL,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,555
NULL,690019841,Ulfrun,ulfrun,NULL,von,Thursen,thursen,NULL,t6r3en,20020505,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,555,NULL,NULL,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,555
NULL,690019968,Widolf,widolf,NULL,von,Thursen,thursen,NULL,t6r3en,20010505,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,555,NULL,NULL,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,555
NULL,690020302,Kari,kari,NULL,von,Thursen,thursen,NULL,t6r3en,20010505,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,555,NULL,NULL,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,555
NULL,690020508,Eisa,eisa,NULL,von,Thursen,thursen,NULL,t6r3en,20000505,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,555,NULL,NULL,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,555
NULL,690020648,Frid,frid,NULL,von,Thursen,thursen,NULL,t6r3en,20000505,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,555,NULL,NULL,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,555
NULL,690020739,Agir,agir,NULL,von,Thursen,thursen,NULL,t6r3en,19980505,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,555,NULL,NULL,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,555
NULL,690020764,Grim,grin,NULL,von,Thursen,thursen,NULL,t6r3en,19970505,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,555,f,NULL,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,555
NULL,690021549,Baldr,baldr,NULL,von,Thursen,thursen,NULL,t6r3en,19910505,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,20070505,NULL,NULL,NULL,O,0,Hellevoetsluis,NULL,NULL,Cronus,555,B,73c,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,555
NULL,690021756,Drifa,drifa,NULL,von,Thursen,thursen,NULL,t6r3en,19910505,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,555,A,-4a,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,555
NULL,690021811,Hilde,hilde,NULL,von,Thursen,thursen,NULL,t6r3en,19910505,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Cronus,555,A,NULL,NULL,3225TD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vonthursen,555
NULL,690021987,Hypnos,hypnos,NULL,NULL,Olympos,olympos,NULL,6l5mp63,19900401,Hendrik-Ido-Ambacht,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,E,0,Hellevoetsluis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,olympos,0
NULL,690022116,Phantasos,phantasos,NULL,NULL,Olympos,olympos,NULL,6l5mp63,19890401,s-Gravenzande,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,E,0,Hellevoetsluis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Verblijfplaatsgegevens zijn in onderzoek,20100104,NULL,olympos,0
NULL,690022268,Thanatos,thanatos,NULL,NULL,Olympos,olympos,NULL,6l5mp63,19880401,Coevorden,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Coevorden,NULL,NULL,t Haantje,75,A,NULL,NULL,7847TB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Adresgegevens zijn in onderzoek,20100104,NULL,olympos,75
NULL,690023571,Lethe,lethe,NULL,NULL,Olympos,olympos,NULL,6l5mp63,19860401,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Landhoofd,75,NULL,NULL,NULL,3223DL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,olympos,75
NULL,690024502,Ŗî Ãō Øū Ŋÿ Ği ŢžŰŲ ŜŞőĠĪ Ŷŵ Ĉŷ,riaooudygitzuussoglywcy,NULL,over 't,T.Śar ŃĆ ĹāÑ ŤÙmön ĊéŴÀŅŇĩ Ļl'ÁÚŘŠĎÉ Pomme-d' Or ĽÒÓĢÛŨ,T.Śar ŃĆ ĹāÑ ŤÙmön ĊéŴÀŅŇĩ Ļl'ÁÚŘŠĎÉ Pomme-d' Or ĽÒÓĢÛŨ,NULL,6l5mp63,20100101,Gaasterlân-Sleat,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Gaasterlân-Sleat,NULL,NULL,Dubbelstraat,1,A,NULL,NULL,8561BC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,690025051,Yuanatan,yuanatan,NULL,NULL,Koops,koops,NULL,k5p,20050107,Rotterdam,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Rotterdam,W,NULL,Bragastraat,18,N,NULL,NULL,2523HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,overtttarnclantumoncewannillaursdepommedorloguu,555
NULL,690025117,Annigje Elfriede,annigjeelfriede,NULL,NULL,Cikaric,cikaric,226,gr6tm2n3,20040602,Naaldwijk,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,Breda,W,NULL,Zoomdijk,141,N,NULL,NU,8498MK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cikaric,141
NULL,690113870,Thijs,thijs,NULL,NULL,Klein,klein,K450,kle5n,19840317,Korteraar,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Heerlen,W,NULL,Dorpsweg,14,NULL,NULL,NULL,3456GF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,Straatnaam is in onderzoek,20050101,NULL,klein,14
NULL,690658631,Suzanne,suzanne,NULL,NULL,Grootmans,grootmans,G635,gr6tm2n3,19550101,Rotterdam,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Appingedam,W,NULL,Burgwal,16,NULL,NULL,NULL,2745RT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,grootmans,16
NULL,692154565,Ibe,ibe,NULL,van,Asbeek,asbeek,NULL,NULL,20000606,Amsterdam,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Amsterdam,W,NULL,Van Karnebeeklaan,29,NULL,NULL,NULL,1060HT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,29
NULL,692515161,Madeleine,madeleine,NULL,NULL,Boesveld,boesveld,NULL,NULL,19901212,Amsterdam,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Amsterdam,W,NULL,De Niagara,21,NULL,NULL,NULL,1065CL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,21
NULL,692606439,Bernhard,bernhard,NULL,de,Vries,vries,V620,1r5e3,20050505,Langeraar,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Almere,W,NULL,Molenlaan,5,NULL,NULL,NULL,6514BG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,devries,5
NULL,692677288,Giorgio,giorgio,NULL,NULL,de Klerk,aelbrinck,NULL,NULL,19920531,Amsterdam,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Amsterdam,W,NULL,Stationsweg Oost,243,NULL,NULL,NULL,1060HT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,243
NULL,692897598,Sam,sam,NULL,de,Vries,vries,V620,1r5e3,19720511,Ter Aar,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Groningen,W,NULL,Molenweg,4,NULL,NULL,NULL,6514BG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,devries,4
NULL,693075223,Eva,eva,NULL,NULL,Grootmans,grootmans,G635,gr6tm2n3,19550101,Rotterdam,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Appingedam,W,NULL,Burgwal,16,NULL,NULL,NULL,2745RT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,grootmans,16
NULL,693076331,Anna,anna,NULL,NULL,Groeneweg,groeneweg,G652,gr6ne1eg,20041109,Haarlem,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,0,Egmond,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,groeneweg,NULL
NULL,693223716,Samuel,samuel,NULL,NULL,Samuel,samuel,S540,32m6l,19811109,Zandvoort,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Egmond,W,NULL,Bosweg,340,b,NULL,NULL,2322JJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,samuel,340
NULL,693334800,Yanka,yanka,NULL,NULL,Dekanie,dekanie,NULL,NULL,19971126,Amsterdam,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Amsterdam,W,NULL,Havermarkt,25,NULL,NULL,NULL,1035XL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,25
NULL,693359900,Jan ,jan,NULL,de,Winter,winter,W536,15nter,19400209,Katwijk,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Arnhem,W,NULL,Molenweg,34,NULL,NULL,NULL,5656KJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,dewinter,34
NULL,693533638,Bernhard,bernhard,NULL,NULL,VandenBroecke,vandenbroecke,V535,12ndenbr6cke,19340202,Groningen,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Amsterdam,W,NULL,Achterweg,4,NULL,NULL,NULL,3724JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,vandenbroecke,4
NULL,693601619,Eva Suzanne,evasuzanne,NULL,NULL,Grootmans,grootmans,G635,gr6tm2n3,19550101,Rotterdam,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Appingedam,W,NULL,Burgwal,18,NULL,NULL,NULL,2745RT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,grootmans,18
NULL,693627797,John,john,NULL,NULL,Lennon,lennon,L550,len6n,19400910,Liverpool,Grootbrittannië,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19801208,NULL,NULL,NULL,O,0,Amsterdam,W,NULL,Dam,9,NULL,NULL,NULL,1012JS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,lennon,9
NULL,693634467,Jessica,jessica,NULL,NULL,Versluijs,versluijs,V624,1er3l653,19700416,Bodegraven,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Groningen,W,NULL,Achterweg,26,NULL,NULL,NULL,1243KJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,Huisnummer is in onderzoek,20050101,20050202,versluijs,26
NULL,693705590,Bert,bert,NULL,de,Groot,groot,G630,gr6t,19470722,Leiden,Nederland,M,Geboortedatum is in onderzoek,20050101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Maastricht,W,NULL,Emmalaan,37,NULL,NULL,NULL,5666GH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,degroot,37
NULL,694062662,Gerard,gerard,NULL,NULL,Maarn,maarn,M650,m2rn,19720306,Parijs,Frankrijk,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Schagen,W,NULL,Sperwerhof,10,NULL,NULL,NULL,1742EK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Frankrijk,NULL,NULL,NULL,maarn,10
NULL,694324140,Werner,werner,NULL,von,Hülcke,hulcke,H420,6lcke,19600505,Hamburg,Duitsland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Haarsteeg,W,NULL,Priemsteeg,3,NULL,NULL,NULL,5254JC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,vonhulcke,3
NULL,694573528,Sam,sam,NULL,NULL,Grõtenhoek,grotenhoek,G635,gr6ten6k,19660724,Leidschendam,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,W,NULL,Straat,3,NULL,NULL,NULL,6514BG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,grotenhoek,3
NULL,695024279,Bernhard,bernhard,NULL,van den,Broecke,broecke,B620,br6cke,19340202,Leiden,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Amsterdam,W,NULL,Voorweg,7,NULL,NULL,NULL,3344AB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,vandenbroecke,7
NULL,695161751,Valerie,valerie,NULL,NULL,Vrolijk,vrolijk,V642,1r6l5k,19790600,Alkmaar,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Petten,W,NULL,Zijperzeegat,3,NULL,NULL,NULL,1756ER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,vrolijk,3
NULL,695616626,Wil,wil,NULL,NULL,Stæs,staes,S320,6lcke,19720103,Brussel,België,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Blaricum,W,NULL,Torenlaan,50,NULL,NULL,NULL,1260AC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,staes,50
NULL,695752947,Kristel,kristel,NULL,NULL,Aelbrinck,aelbrinck,NULL,NULL,19990202,Amsterdam,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Amsterdam,W,NULL,Zuiderhaven,1,a,2hg,NULL,1060HT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,1
NULL,695993057,Coen,coen,NULL,NULL,Egbertsz,egbertsz,NULL,NULL,19950531,Amsterdam,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Amsterdam,W,NULL,Laurastraat,26,NULL,NULL,NULL,1062PX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,26
NULL,696003338,Anneke,anneke,NULL,NULL,Heuvel Bos,heuvelbos,H141,e61elb63,19740923,Zwolle,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Alkmaar,W,NULL,Koningin Wilhelminalaan,3030,NULL,NULL,NULL,1212HH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,heuvelbos,3030
NULL,696059460,Kiki,kiki,NULL,NULL,Bieleman,bieleman,NULL,NULL,19881231,Amsterdam,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Amsterdam,W,NULL,Plantsoen,3,NULL,NULL,NULL,1032PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,3
NULL,696535889,Nienke,nienke,NULL,NULL,Beelen,beelen,NULL,NULL,19970128,Amsterdam,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Amsterdam,W,NULL,Viaduct,3,NULL,NULL,NULL,1011NH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,3
NULL,696754769,Coen,coen,NULL,NULL,Sanders,sanders,NULL,NULL,19660507,Enschede,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Enschede,W,Enschede,Pantheon,14,NULL,NULL,NULL,7516KL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,696869895,Sam,sam,NULL,NULL,Grôtenhoek,grotenhoek,G635,gr6ten6k,19560211,Leidschendam,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,W,NULL,Laan,2,NULL,NULL,NULL,4545JK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,grotenhoek,2
NULL,697163842,Ewald,ewald,NULL,NULL,Alofs,alofs,NULL,NULL,20010706,Amsterdam,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Amsterdam,W,NULL,Haagweg,299,NULL,NULL,NULL,1012BA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,299
NULL,697335847,Eva Suzanne,evasuzanne,NULL,de,Vries,vries,V620,1r5e3,19550202,Delft,Nederland,O,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Delft,B,NULL,Straatje,1,b,NULL,NULL,2625AB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,devries,1
NULL,697503859,Sam,sam,NULL,NULL,Grotenhoek,grotenhoek,G635,gr6ten6k,19560211,Leidschendam,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,W,NULL,Burgweg,1,NULL,NULL,NULL,2245GH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,grotenhoek,1
NULL,697992561,Samuel Bernhard,samuelbernhard,NULL,NULL,Grotenhoek,grotenhoek,G635,gr6ten6k,19700623,Leidschendam,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,B,NULL,Sluisweg,24,NULL,NULL,NULL,3315FG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,grotenhoek,24
NULL,698268866,Tanya,tanya,NULL,NULL,Boshart,boshart,NULL,NULL,19891231,Amsterdam,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Amsterdam,W,NULL,Lingedijk,8,NULL,NULL,NULL,1061KL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,8
