NR.,01.01.10,01.01.20,01.02.10,01.02.20,01.02.30,01.02.40,01.03.10,01.03.20,01.03.30,01.04.10,01.20.10,01.20.20,01.61.10,01.81.10,01.81.20,01.82.10,01.82.20,01.82.30,01.83.10,01.83.20,01.83.30,01.84.10,01.85.10,01.86.10,01.H,02.01.10,02.01.20,02.02.10,02.02.20,02.02.30,02.02.40,02.03.10,02.03.20,02.03.30,02.04.10,02.62.10,02.81.10,02.81.20,02.82.10,02.82.20,02.82.30,02.83.10,02.83.20,02.83.30,02.84.10,02.85.10,02.86.10,02.H,03.01.10,03.01.20,03.02.10,03.02.20,03.02.30,03.02.40,03.03.10,03.03.20,03.03.30,03.04.10,03.62.10,03.81.10,03.81.20,03.82.10,03.82.20,03.82.30,03.83.10,03.83.20,03.83.30,03.84.10,03.85.10,03.86.10,03.H,04.05.10,04.63.10,04.64.10,04.65.10,04.82.10,04.82.20,04.82.30,04.83.10,04.83.20,04.83.30,04.84.10,04.85.10,04.86.10,04.H,05.01.10,05.01.20,05.02.10,05.02.20,05.02.30,05.02.40,05.03.10,05.03.20,05.03.30,05.04.10,05.06.10,05.06.20,05.06.30,05.07.10,05.07.20,05.07.30,05.07.40,05.15.10,05.81.10,05.81.20,05.82.10,05.82.20,05.82.30,05.83.10,05.83.20,05.83.30,05.84.10,05.85.10,05.86.10,05.H,06.08.10,06.08.20,06.08.30,06.81.10,06.81.20,06.82.10,06.82.20,06.82.30,06.83.10,06.83.20,06.83.30,06.84.10,06.85.10,06.86.10,06.H,07.66.20,07.67.10,07.67.20,07.68.10,07.69.10,07.70.10,07.80.10,07.80.20,07.87.10,07.H,08.09.10,08.09.20,08.10.10,08.10.20,08.10.30,08.11.10,08.11.15,08.11.20,08.11.30,08.11.40,08.11.50,08.11.60,08.11.70,08.11.80,08.11.90,08.12.10,08.13.10,08.13.20,08.13.30,08.13.40,08.13.50,08.14.10,08.14.20,08.72.10,08.75.10,08.83.10,08.83.20,08.83.30,08.84.10,08.85.10,08.86.10,08.H,09.01.10,09.01.20,09.02.10,09.02.20,09.02.30,09.02.40,09.03.10,09.03.20,09.03.30,09.81.10,09.81.20,09.82.10,09.82.20,09.82.30,09.83.10,09.83.20,09.83.30,09.84.10,09.85.10,09.86.10,09.H,10.39.10,10.39.20,10.39.30,10.83.10,10.83.20,10.83.30,10.84.10,10.85.10,10.86.10,10.H,11.32.10,11.33.10,11.82.10,11.82.20,11.82.30,11.83.10,11.83.20,11.83.30,11.84.10,11.85.10,11.86.10,11.H,12.35.10,12.35.20,12.35.30,12.35.40,12.35.50,12.35.60,12.35.70,12.35.80,12.36.10,12.37.10,12.82.10,12.82.20,12.82.30,12.83.10,12.83.20,12.83.30,12.85.10,12.86.10,12.H,13.31.10,13.31.20,13.31.30,13.38.10,13.38.20,13.82.10,13.82.20,13.82.30,13.H,14.40.10,14.85.10,14.H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,20000228,W,,20000228,Thorbeckelaan,,731,,,,2564CJ,,,,,,,,,,5010,19980802,A,,081400,20000327,,,20000228,20000301,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900202,19951120,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,20000228,W,,20000228,Thorbeckelaan,,73,,,,2564BG,,,,,,,,,,5010,19980801,A,,,,,O,20000228,20000229,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900208,19941030,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19990228,W,,19990228,Grote Markt,,3,,,,2511BG,,,,,,,,,,5010,19980802,A,,581400,20000327,,,19990228,19990301,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19990228,W,,19990228,Grote Markt,,3,,,,2511BG,,,,,,,,,,5010,19980801,A,,,,,O,19990228,19990228,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1807,19980801,W,,19980802,Minervaplein,,11,,,,1077TH,,,,,,,,,,5010,19980802,A,,581400,20000327,,,19980802,19980802,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1807,19980801,W,,19980801,Minervaplein,,11,,,,1077TH,,,,,,,,,,5010,19980801,A,,,,,O,19980801,19980801,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0974,19870527,,,,,,,,,,,,,,,5010,19890912,,,,,,A,,581300,20000327,,,19890912,19940310,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0974,19870527,W,,19870527,Amelbergahof,,11,,,,6114GX,,,,,,,,,,5010,19780418,A,,581400,20000327,,,19870527,19940310,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0548,19810312,W,,19810312,Spechtlaan,,149,,,,2261BC,,,,,,,,,,5010,19780418,A,,581400,20000327,,,19810312,19940310,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19780418,W,,19780418,Golfbaan,,13,,,,2492WE,,,,,,,,,,5010,19780418,A,,581400,20000327,,,19780418,19940310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9069608213,299999920,Nasier,,,Boeddhoe,19500919,Amritsar,7046,M,,,E,,,0974,19940310,PKA,,,,,19500919,19951001,,,,Indira,,,Chaterjee,00000000,Amritsar,7046,V,19500919,,,0974,19940310,PK,,,,,19500919,19940310,,,,Panda,,,Boeddhoe,19300703,Amritsar,7046,M,19500919,,,0974,19940310,PK,,,,,19500919,19940310,,0312,,,,0974,19940310,PK,,,,,19500919,19940310,,5689279785,300545927,Sherida,,,Malhoe,19500101,Paramaribo,5007,V,,,,20000308,1804,6030,S,P,1804,50B0040,,,,,,,,20000308,20000308,55,,,,,,,,,,,,,,,,,#ADDIN?,E,19940310,0974,0,0003,20110131132007000,P,,1804,19980201,,,,,,,,,,,,,,,6007,#ADDIN?,27 Saint Stephen's Green,Dublin 2,,,,I,,,,,,#ADDIN?,20140410,58,,,,,,,,,,,,,,,,,,,,,,21,20150530,20100530,,,,,20110130,20110131,60,,,,,,,,,,,,,,,,,,,,,,1,0000,00000000,7046,,,,00000000,19940310,,,,,,,,,,,900302,20030710,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5689279785,300545927,Sherida,,,Malhoe,19500101,Paramaribo,5007,V,19980201,1804,6030,,,,,P,1804,5 A0040,,,,,,,,19980201,19980201,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19980201,W,,20000228,Atjehstraat,Atjehstraat,137,,,,2585VN,Toetsoog,1804100000000007,1804200000000007,,,,,,,7046,19900808,T,,,,,,20091101,20091101,58,,,,,,,,,,,,,,,,,,,,,,26,20110501,20060501,,,,,20060715,20060717,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900303,19960115,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19980201,W,,20000228,Atjehstraat,,137,,,,2585VN,,,,,,,,,,7046,19900808,A,,,,,,20000228,20000301,58,,,,,,,,,,,,,,,,,,,,,,26,20060501,20010501,,,,,20010615,20010618,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900202,19951115,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19980201,W,,19980201,Erasmusweg,,143,,,,2725HR,,,,,,,,,,7046,19900808,P,,,,,,19980201,19980203,58,,,,,,,,,,,,,,,,,,,,,,98,,19940701,,,,,19940701,20001115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900208,19941030,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0974,19900808,W,,19900808,Abdijlaan,,3,,,,6114GV,,,,,,,,,,7046,19900808,A,,,,,,19900808,19940310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6260716032,299999919,Marta,,,Tupolev,19630905,Omsk,9049,V,,,E,,,1804,19940810,PKA,,,,,19630905,19951001,,,,Anabela,,,Soekolov,19410520,Djnepropetrovsk,9049,V,19630905,,,1804,19940810,PK,,,,,19630905,19940810,,,,Marek,,,Tupolev,19390715,Kiev,9049,M,19630905,,,1804,19940810,PK,,,,,19630905,19940810,,,,,,,,,,,,,,,,,,Pjotr,,,Vornowski,19601007,Kiev,9049,M,,,,20000103,1804,6030,S,H,,,1804,20000105,s akte 9049,,,,,20000103,20000105,55,,,,,,,,,,,,,,,,,#ADDIN?,E,19940810,1804,0,0003,20101222132008000,P,,1804,19931101,,,,,,,,,,,,,,,6008,#ADDIN?,"Avenida Atlântica, 1702 - Copacabana","Rio de Janeiro - RJ, 22021-001",,,,I,,,,,,#ADDIN?,20140410,58,7187696407,302641828,Petri,,,Vornowski,19940704,1804,6030,,,1804,19940813,PL gerelateerde,,,,,19940813,19940813,59,21,20130228,20080229,,,,,20080229,20080303,60,,,,,,,,,,,,,,,,,,,,,,1,0000,00000000,9049,,,,00000000,19940810,,,,,,,,,,,900303,20101222,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pjotr,,,Vornowski,19601007,Kiev,9049,M,19931002,Kiev,6050,,,,,H,,,1804,19940810,PK,,,,,19931002,19940810,05,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19931101,W,,19931101,Korte Beestenmarkt,Korte Beestenmarkt,4,,,,2512GP,Toetsoog,1804100000000008,1804200000000008,,,,,,,6050,19931101,T,,081400,19940810,,,20091101,20091101,58,,,Petri,,,Vornowski,19940704,1804,6030,,,1804,19940810,PK,,,,,19940704,19940810,09,26,,20010223,,,,,20010223,20010226,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900302,20030710,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5143672754,302533928,Cees,,,Vlag,19611002,1804,6030,M,,,,19830328,0344,6030,S,H,,,1804,19940810,PL gerelateerde,,,,,19940810,19951001,55,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19931101,W,,19931101,Korte Beestenmarkt,,4,,,,2512GP,,,,,,,,,,6050,19931101,A,,081400,19940810,,,19931101,19940810,,,,Petra,,,Vornowski,19940704,1804,6030,,,1804,19940813,Correctie A-nr,,,,,19940812,19940813,59,98,,19931101,,,,,19931101,20001113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900202,19951101,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cees,,,Vlag,19611002,1804,6030,M,,,,19830328,0344,6030,S,H,,,1804,19940810,PK,,,,,19830328,19940810,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7187696407,,Petra,,,Vornowski,19940704,1804,6030,,,1804,19940812,PL gerelateerde,,,,O,19940812,19940812,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900208,19941030,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cees,,,Vlag,19611002,1804,6030,M,19820328,0344,6030,,,,,H,,,1804,19940810,PK,,,,,19820328,19940810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petra,,,Vornowski,19940704,1804,6030,,,1804,19940810,PK,,,,,19940704,19940810,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9184189186,299999907,Petri,,,Vornowski,19940704,1804,6030,M,,,E,,,1804,19940810,PKA,,,,,19940704,19951001,,9302186546,302759918,Marta,,,Tupolev,19630905,Omsk,9049,V,19940704,,,1804,19940813,PL gerelateerde,,,,,19940813,19951001,52,,,Pjotr,,,Vornowski,19601007,Kiev,9049,M,19940704,,,1804,19940810,PK,,,,,19940704,19940810,,0034,,,,1804,19940810,PK,,,,,19940704,19940810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#ADDIN?,E,19940810,1804,0,0003,20100816132009000,P,,1804,19940704,,,,,,,,,,,,,,,6009,#ADDIN?,Avenue de la Republique,Kigali,,,,I,,,,,,#ADDIN?,20140410,58,,,,,,,,,,,,,,,,,,,,,,21,20150801,20100727,,,,,20100727,20100816,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900302,20030710,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marta,,,Tupolev,19630905,Omsk,9049,V,19940704,,,1804,19940810,PK,,,,,19940704,19940810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19940704,W,,19940704,Korte Beestenmarkt,Korte Beestenmarkt,4,,,,2512GP,Toetsoog,1804100000000009,1804200000000009,,,,,,,,,T,,,,,,20091101,20091101,58,,,,,,,,,,,,,,,,,,,,,,24,,20010223,,,,,20010223,20010226,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900202,19951101,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19940704,W,,19940704,Korte Beestenmarkt,,4,,,,2512GP,,,,,,,,,,,,A,,,,,,19940704,19940810,,,,,,,,,,,,,,,,,,,,,,,98,,19951101,,,,,19951101,20001113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900208,19941030,
1,3213071358,299999890,Wesley,,,Vlag,19880705,1804,6030,M,,,E,,,1804,19940810,PKA,,,,,19880705,19951001,,8146315790,303937828,Paula,,,Prins,19620528,1804,6030,V,19880705,,,1804,19940813,PL gerelateerde,,,,,19940813,19951001,52,5143672754,302533928,Cees,,,Vlag,19611002,1804,6030,M,19880705,,,1804,19940810,PL gerelateerde,,,,,19940810,19951001,53,0001,017,,,,,,,,,,19880705,19940810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#ADDIN?,E,19940810,1804,0,0003,20110124115525000,P,,1804,19880705,,,,,,,,,,,,,,,6013,#ADDIN?,,Freedom Park Road Hargeisa,,,,I,,,,,,#ADDIN?,20140410,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900303,20110124,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paula,,,Prins,19620528,1804,6030,V,19880705,,,1804,19940810,PK,,,,,19880705,19940810,,,,Cees,,,Vlag,19611002,1804,6030,M,19880705,,,1804,19940810,PK,,,,,19880705,19940810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19880705,W,,19880705,Zuidwal,Zuidwal,13,,,,2512XS,Toetsoog,1804100000000013,1804200000000013,,,,,,,,,T,,,,,,20091101,20091101,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900302,20030710,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19880705,W,,19880705,Zuidwal,,13,,,,2512XS,,,,,,,,,,,,A,,,,,,19880705,19940810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900208,19941030,
11,5383076869,299999889,Marcelius Gerardus Franciscus Michaelis Vincentius,B,van,Brest naar Kempen,19540421,0947,6030,M,,,E,,,1804,19940310,PKA,,,,,19540421,19951001,,,,Wilhelmina,BS,von,Schonhof,19340712,0518,6030,V,19540421,,,1804,19940310,PK,,,,,19540421,19940310,,,,Marcelius Gerardus Franciscus Michaelis Vincentius,B,van,Brest naar Kempen,19350124,0518,6030,M,19540421,,,1804,19940310,PK,,,,,19540421,19940310,,0001,001,,,,,,,,,,19540421,19940310,,8237302062,303777928,Carolina,BS,van der,Hom,19551212,0344,6030,V,19820511,1804,6030,,,,,H,,,1804,19940310,PL gerelateerde,,,,,19940310,19951001,55,,,,,,,,,,,,,,,,,#ADDIN?,E,19940310,1804,0,0003,20090906131500000,P,,1804,19710712,,,,,,,,,,,,,,,6014,#ADDIN?,250 West 77th Street,"New York, NY 10024",,,,I,,,,,,#ADDIN?,20140410,58,1659120893,304637828,Petronella,BS,van,Brest naar Kempen,19880425,1804,6030,,,1804,19940310,PL gerelateerde,,,,,19940310,19951001,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900302,20030710,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carolina,BS,van der,Hom,19551212,0344,6030,V,19820511,1804,6030,,,,,H,,,1804,19940310,PK,,,,,19820511,19940310,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19710712,W,,19920401,Laurierstraat,Laurierstraat,21,,,,2563SB,Toetsoog,1804100000000014,1804200000000014,,,,,,,,,T,,,,,,20091101,20091101,58,,,Petronella,BS,van,Brest naar Kempen,19880425,1804,6030,,,1804,19940310,PK,,,,,19880425,19940310,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900208,19941030,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19820501,W,,19920401,Laurierstraat,,21,,,,2563SB,,,,,,,,,,,,A,,,,,,19920401,19940310,58,,,Jozef Petrus,B,van,Brest naar Kempen,19830123,1804,6030,,,1804,19940310,PK,,,,,19830123,19940310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19820501,W,,19820501,Egelantierstraat,,26,,,,2565XK,,,,,,,,,,,,A,,,,,,19820501,19940310,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0974,19540421,W,,19540421,Walnootstraat,,44,,,,4300BM,,,,,,,,,,,,A,,,,,,19540421,19940310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8489636803,299999877,Carolina,BS,van der,Horn,19551212,0344,6030,V,,,P,,,1804,19940310,PKA,,,,,19820511,19951001,,,,Andrea,BS,,Gram,19301201,0344,6030,V,19551212,,,1804,19940310,PK,,,,,19551212,19940310,,,,Christoffel,B,van der,Hom,19300118,0947,6030,M,19551212,,,1804,19940310,PK,,,,,19551212,19940310,,0001,001,,,,,,,,,,19551212,19940310,,7408486765,303777837,Marcelius Gerardus Franciscus Michaelis Vincentius,B,van,Brest naar Kempen,19540421,0947,6030,M,19820511,1804,6030,,,,,H,,,1804,19940310,PL gerelateerde,,,,,19940310,19951001,55,,,,,,,,,,,,,,,,,#ADDIN?,E,19940310,1804,0,0003,20101212143503000,P,,1804,19710712,,,,,,,,,,,,,,,6015,#ADDIN?,Calle Potosi 374,Sucre,,,,I,,,,,,#ADDIN?,20140410,58,1659120893,304637828,Petronella,BS,van,Brest naar Kempen,19880425,1804,6030,,,1804,19940310,PL gerelateerde,,,,,19940310,19951001,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900302,20030710,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcelius Gerardus Franciscus Michaelis Vincentius,B,van,Brest naar Kempen,19540421,0947,6030,M,19820511,1804,6030,,,,,H,,,1804,19940310,PK,,,,,19820511,19940310,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19710712,W,,19920401,Laurierstraat,Laurierstraat,21,,,,2563SB,Toetsoog,1804100000000015,1804200000000015,,,,,,,,,T,,,,,,20091101,20091101,58,,,Petronella,BS,van,Brest naar Kempen,19880425,1804,6030,,,1804,19940310,PK,,,,,19880425,19940310,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900208,19941030,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19710712,W,,19920401,Laurierstraat,,21,,,,2563SB,,,,,,,,,,,,A,,,,,,19920401,19940310,58,,,Jozef Petrus,B,van,Brest naar Kempen,19830123,1804,6030,,,1804,19940310,PK,,,,,19830123,19940310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19710712,W,,19820501,Egelantierstraat,,26,,,,2565XK,,,,,,,,,,,,A,,,,,,19820501,19940310,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
